original_title,release_date
Pirates of the Caribbean: The Curse of the Black Pearl,7/9/03
The Hunger Games: Mockingjay - Part 1,11/18/14
The Da Vinci Code,5/17/06
Rio 2,3/19/14
X2,4/24/03
Fast Five,4/20/11
Sherlock Holmes: A Game of Shadows,11/22/11
Clash of the Titans,4/1/10
Total Recall,6/1/90
The 13th Warrior,8/27/99
The Bourne Legacy,8/8/12
Batman & Robin,6/20/97
How the Grinch Stole Christmas,11/17/00
The Day After Tomorrow,5/26/04
Mission: Impossible II,5/24/00
The Perfect Storm,3/15/00
4: Rise of the Silver Surfer,6/13/07
Life of Pi,11/20/12
Ghost Rider,2/16/07
Jason Bourne,7/27/16
Charlie's Angels: Full Throttle,6/27/03
Prometheus,5/30/12
Stuart Little 2,7/19/02
Elysium,8/7/13
The Chronicles of Riddick,6/11/04
RoboCop,1/30/14
Speed Racer,5/9/08
How Do You Know,12/17/10
Knight and Day,6/15/10
Oblivion,4/10/13
Star Wars: Episode III - Revenge of the Sith,5/17/05
Star Wars: Episode II - Attack of the Clones,5/15/02
"Monsters, Inc.",11/1/01
The Wolverine,7/23/13
Star Wars: Episode I - The Phantom Menace,5/19/99
The Croods,3/20/13
Astérix aux Jeux Olympiques,1/13/08
Windtalkers,6/14/02
The Huntsman: Winter's War,4/6/16
Teenage Mutant Ninja Turtles,8/7/14
Gravity,9/27/13
Dante's Peak,2/7/97
Teenage Mutant Ninja Turtles: Out of the Shadows,6/1/16
Fantastic Four,8/5/15
Night at the Museum,10/20/06
San Andreas,5/27/15
Tomorrow Never Dies,12/11/97
The Patriot,6/28/00
Ocean's Twelve,12/9/04
Mr. & Mrs. Smith,6/7/05
Insurgent,3/18/15
The Aviator,12/17/04
Gulliver's Travels,12/25/10
The Green Hornet,1/12/11
300: Rise of an Empire,3/5/14
The Smurfs,7/29/11
Home on the Range,4/2/04
Allegiant,3/9/16
Real Steel,9/28/11
The Smurfs 2,7/30/13
Speed 2: Cruise Control,6/13/97
Ender's Game,10/23/13
Live Free or Die Hard,6/20/07
The Lord of the Rings: The Fellowship of the Ring,12/18/01
Around the World in 80 Days,6/16/04
Ali,12/11/01
The Cat in the Hat,11/21/03
"I, Robot",7/15/04
Kingdom of Heaven,5/3/05
Stuart Little,12/17/99
The Princess and the Frog,12/8/09
The Martian,9/30/15
The Island,7/20/05
Town & Country,4/27/01
Gone in Sixty Seconds,6/9/00
Gladiator,5/1/00
Minority Report,6/20/02
Harry Potter and the Chamber of Secrets,11/13/02
Casino Royale,11/14/06
Planet of the Apes,7/25/01
Terminator 2: Judgment Day,7/1/91
Public Enemies,7/1/09
American Gangster,11/2/07
True Lies,7/14/94
The Taking of Pelham 1 2 3,6/11/09
